task,window,seed,model,family,n_train,cost_bps,mean_active,sharpe,maxdd,hit
T-book,4,0,RBF,classical,400,0.0,0.001756975524791622,5.425595084826886,-0.02308683078156337,0.6031746031746031
T-book,4,0,RBF,classical,400,5.0,0.0014633247311408284,4.528097344957144,-0.024364732745673814,0.6031746031746031
T-book,4,0,QK,quantum,400,0.0,-0.00027903533553861367,-0.7786346541099377,-0.07943771835147964,0.5079365079365079
T-book,4,0,QK,quantum,400,5.0,-0.0005330035895068677,-1.489537954450459,-0.08566545484815907,0.47619047619047616
T-book,4,0,VQC,quantum,400,0.0,0.002799723907556052,7.903962482635295,-0.020237650858666398,0.5873015873015873
T-book,4,0,VQC,quantum,400,5.0,0.002566919674751818,7.24654776747571,-0.021730608399219642,0.5714285714285714
T-book,4,1,LIN,classical,400,0.0,0.003406616485176049,9.738530813690392,-0.013776149898949347,0.7301587301587301
T-book,4,1,LIN,classical,400,5.0,0.0030812196597792235,8.78638873346474,-0.014952979412875794,0.7142857142857143
T-book,4,1,RBF,classical,400,0.0,0.001970801297419021,5.707099856601371,-0.02495407098483952,0.6190476190476191
T-book,4,1,RBF,classical,400,5.0,0.0016665684931862171,4.825731649880137,-0.025704070984839518,0.5873015873015873
T-book,4,1,QK,quantum,400,0.0,-0.0011750942980453454,-3.328676361701628,-0.10857876064218694,0.4444444444444444
T-book,4,1,QK,quantum,400,5.0,-0.0014899091128601607,-4.228554657792168,-0.12732876064218696,0.4126984126984127
T-book,4,1,VQC,quantum,400,0.0,0.0020256076429445444,5.601885093849659,-0.02220008904874186,0.5555555555555556
T-book,4,1,VQC,quantum,400,5.0,0.0017121155794524807,4.725398758520466,-0.02345008904874186,0.5079365079365079
T-book,4,2,LIN,classical,400,0.0,0.0042189968485759205,10.55406365884179,-0.032272177901355004,0.7777777777777778
T-book,4,2,LIN,classical,400,5.0,0.003995451875030946,9.973651569868107,-0.034522177901355006,0.7777777777777778
T-book,4,2,RBF,classical,400,0.0,0.0012095889288206909,3.457153969554519,-0.03971487174266239,0.5555555555555556
T-book,4,2,RBF,classical,400,5.0,0.0008974196166513786,2.5612028816713117,-0.0463917012565888,0.5238095238095238
T-book,4,2,QK,quantum,400,0.0,0.0004889112874577104,1.4896495270977106,-0.08410334578875407,0.5714285714285714
T-book,4,2,QK,quantum,400,5.0,0.00019129223983866292,0.5842128758834753,-0.09002001245542071,0.49206349206349204
T-book,4,2,VQC,quantum,400,0.0,0.0022545848504530812,5.950171231349955,-0.03343332070183652,0.6031746031746031
T-book,4,2,VQC,quantum,400,5.0,0.001984743580611812,5.2362760019169245,-0.03526665403516986,0.6031746031746031
