task,window,seed,model,family,n_train,reference,auc,brier,acc,auc_calm,auc_stress,wall_s
T-class,2,1,RBF,classical,150,False,0.7094678217821782,0.21673171232263697,0.6574074074074074,0.773764021603656,0.5240284851914734,0.006781339645385742
T-class,2,1,QK,quantum,150,False,0.7110113355085508,0.21584451502817292,0.656084656084656,0.77001454092231,0.555461233729485,0.023135662078857422
T-class,2,1,VQC,quantum,150,False,0.6999043654365436,0.22418417486880984,0.6613756613756614,0.7532197756543415,0.542491982644784,0.8673496246337891
T-class,2,1,LIN,classical,400,False,0.7467371737173718,0.20234624932286843,0.6812169312169312,0.7839426672206066,0.6444067157140162,0.003541231155395508
T-class,2,1,RBF,classical,400,False,0.7439243924392438,0.2036925559365105,0.701058201058201,0.7791337764852513,0.6274995283908698,0.015345573425292969
T-class,2,1,QK,quantum,400,False,0.7278036397389738,0.2087912949449591,0.6772486772486772,0.7436643124221023,0.6239388794567063,0.0775601863861084
T-class,2,1,VQC,quantum,400,False,0.7440509675967597,0.20417969701573094,0.6838624338624338,0.781657665143332,0.6370024523674778,0.8781390190124512
T-class,2,1,LIN,classical,full,True,0.7541207245724573,0.19977765498603,0.6851851851851852,0.7792895720814291,0.6745425391435579,0.007537126541137695
T-class,2,1,RBF,classical,full,True,0.7355458202070208,0.20861535032205633,0.6772486772486772,0.7633257166597425,0.6297868326730804,0.07849478721618652
T-class,2,2,LIN,classical,150,False,0.7445572682268227,0.20691752624319718,0.6931216931216931,0.7716452014956378,0.661620448971892,0.02062368392944336
T-class,2,2,RBF,classical,150,False,0.7553583483348335,0.2077327544933966,0.6984126984126984,0.7746364769422519,0.6882663648368232,0.006677865982055664
T-class,2,2,QK,quantum,150,False,0.7432633888388839,0.2180517536427428,0.6865079365079365,0.7264437058579143,0.6993727598566308,0.0253598690032959
T-class,2,2,VQC,quantum,150,False,0.7581640976597659,0.2009882951716616,0.6984126984126984,0.7564810968009971,0.7299094510469721,0.8897695541381836
T-class,2,2,LIN,classical,400,False,0.7473630175517552,0.20271710675533047,0.6798941798941799,0.775321977565434,0.6575174495378231,0.003668069839477539
T-class,2,2,RBF,classical,400,False,0.7511462083708371,0.20234958740239187,0.6865079365079365,0.7779393435812214,0.6678928504055839,0.01487278938293457
T-class,2,2,QK,quantum,400,False,0.7399302430243024,0.2063087358604503,0.6970899470899471,0.750498545907769,0.6514808526693077,0.0771481990814209
T-class,2,2,VQC,quantum,400,False,0.7626997074707471,0.1975799953959662,0.7023809523809523,0.7805151641046946,0.7073665346161102,0.8860468864440918
T-class,2,2,LIN,classical,full,True,0.7541207245724573,0.19977765498603,0.6851851851851852,0.7792895720814291,0.6745425391435579,0.007827281951904297
T-class,2,2,RBF,classical,full,True,0.7504219171917192,0.20229022498500573,0.6984126984126984,0.7589945990859992,0.6797774004904734,0.1232609748840332
T-class,3,0,LIN,classical,150,False,0.7899237297239232,0.1855487933512916,0.7142857142857143,0.7982577093688205,0.5725694444444445,0.013948440551757812
T-class,3,0,RBF,classical,150,False,0.7993769470404984,0.18478970300712175,0.7275132275132276,0.8078135855913633,0.5979166666666668,0.006340980529785156
T-class,3,0,QK,quantum,150,False,0.7960360941024814,0.19619123861627286,0.7182539682539683,0.7970498637165305,0.6980902777777778,0.024318218231201172
T-class,3,0,VQC,quantum,150,False,0.7434167651376804,0.2047510367074504,0.6798941798941799,0.7541980653091764,0.5805555555555555,0.9289913177490234
T-class,3,0,LIN,classical,400,False,0.782969885773624,0.18574849349088596,0.7103174603174603,0.7906899684677463,0.5378472222222223,0.0035576820373535156
