task,window,seed,model,family,n_train,reference,ic_spearman,ic_pearson,rmse,wall_s
T-reg,2,0,RBF,classical,400,False,0.1848227434307027,0.1817046501737541,0.03280497429538867,0.12226009368896484
T-reg,2,0,QK,quantum,400,False,0.12481119835875013,0.14352938193233658,0.03286954727446224,0.15747523307800293
T-reg,2,0,VQC,quantum,400,False,0.12841805435959774,0.13371042135655925,0.03486497541661635,0.8305087089538574
T-reg,2,0,LIN,classical,full,True,0.22304115302969266,0.222808659645988,0.03234048297755595,0.0
T-reg,2,0,RBF,classical,full,True,0.23942224094095807,0.2499462615073091,0.03176740632311617,0.0
T-reg,2,1,LIN,classical,150,False,0.1796677035568792,0.17617311075364817,0.03271239590456091,0.0007107257843017578
T-reg,2,1,RBF,classical,150,False,0.17632746456528028,0.18073270584997744,0.03265558482584856,0.020376920700073242
T-reg,2,1,QK,quantum,150,False,0.03391468339021857,0.039287790884085606,0.03433197576247726,0.09638333320617676
T-reg,2,1,VQC,quantum,150,False,0.12775609431632248,0.09673255692332852,0.03519780465763589,0.9221031665802002
T-reg,2,1,LIN,classical,400,False,0.22885379264778605,0.23113039133272648,0.033725243286145935,0.0008058547973632812
T-reg,2,1,RBF,classical,400,False,0.26913392936121205,0.27282795340689964,0.03215312769661083,0.11992359161376953
T-reg,2,1,QK,quantum,400,False,0.25595588377220296,0.2678193440652361,0.032261390902170256,0.17046809196472168
T-reg,2,1,VQC,quantum,400,False,0.2587896615366499,0.25594694650211514,0.03385075256671852,1.0391840934753418
T-reg,2,1,LIN,classical,full,True,0.22304115302969266,0.222808659645988,0.03234048297755595,0.0
T-reg,2,1,RBF,classical,full,True,0.2545552835228883,0.25446485712990524,0.032162311907505854,0.0
T-reg,2,2,LIN,classical,150,False,0.14288730390631413,0.1518823109939761,0.03384868666943329,0.0008249282836914062
T-reg,2,2,RBF,classical,150,False,0.16372478403675092,0.11400324159127274,0.03353774184477606,0.002482891082763672
T-reg,2,2,QK,quantum,150,False,0.14827516152894302,0.13418990220760052,0.03279334741558198,0.10789942741394043
T-reg,2,2,VQC,quantum,150,False,0.033980587782192234,0.015478007219189899,0.03573851246131458,0.9338722229003906
T-reg,2,2,LIN,classical,400,False,0.22822282683183592,0.22547903964604454,0.033792422935216615,0.0007498264312744141
T-reg,2,2,RBF,classical,400,False,0.2527634783577114,0.22780495296528488,0.03330675523979491,0.04300379753112793
T-reg,2,2,QK,quantum,400,False,0.22916990043937652,0.19026484501695845,0.03316728883319194,0.07149171829223633
T-reg,2,2,VQC,quantum,400,False,0.25023239421657717,0.21530199243336154,0.03440350751326348,0.8604190349578857
T-reg,2,2,LIN,classical,full,True,0.22304115302969266,0.222808659645988,0.03234048297755595,0.0
T-reg,2,2,RBF,classical,full,True,0.20010570253512505,0.2172913442090687,0.03234894521722037,0.0
T-reg,3,0,LIN,classical,150,False,0.27118765796537064,0.2760996448989025,0.029673134930464955,0.0007886886596679688
T-reg,3,0,RBF,classical,150,False,0.18298180852705073,0.16872383204140715,0.030742871231698398,0.0041713714599609375
T-reg,3,0,QK,quantum,150,False,0.09836104136715648,0.1285282373700252,0.031279680299341014,0.08961319923400879
T-reg,3,0,VQC,quantum,150,False,0.2108458133006061,0.20121880175547988,0.030936809812008356,0.9160723686218262
T-reg,3,0,LIN,classical,400,False,0.2937230996282498,0.27747048382338363,0.029686832048230277,0.0008630752563476562
T-reg,3,0,RBF,classical,400,False,0.24960242821441173,0.29396057789656016,0.029732915806072863,0.014264345169067383
T-reg,3,0,QK,quantum,400,False,0.18690460568385808,0.19227117577962127,0.030632468860266607,0.15311479568481445
T-reg,3,0,VQC,quantum,400,False,0.26570459585235584,0.3084048863636527,0.029832829694827867,0.9312648773193359
T-reg,3,0,LIN,classical,full,True,0.3192322929854315,0.3062470869995905,0.029550092969993464,0.0
T-reg,3,0,RBF,classical,full,True,0.32123964133902283,0.35297373171131535,0.028939039813148684,0.0
T-reg,3,1,LIN,classical,150,False,0.17625311730134707,0.19781585223515247,0.030304861022296327,0.0007886886596679688
T-reg,3,1,RBF,classical,150,False,0.18287460627124863,0.26249495567589937,0.0297904188754807,0.002357959747314453
T-reg,3,1,QK,quantum,150,False,0.07522390621413429,0.13546553991206445,0.0309888381680272,0.0966801643371582
T-reg,3,1,VQC,quantum,150,False,0.19036193397868534,0.26142366081441415,0.0302074602310581,0.8852806091308594
T-reg,3,1,LIN,classical,400,False,0.27027802182954536,0.2640122501645229,0.030430861416832086,0.0007193088531494141
T-reg,3,1,RBF,classical,400,False,0.2516961215973525,0.29930593671690203,0.029745054471161363,0.11696696281433105
T-reg,3,1,QK,quantum,400,False,0.18320823857667623,0.1990136558207987,0.03172823109998054,0.1751265525817871
T-reg,3,1,VQC,quantum,400,False,0.21458247845783168,0.2766228001470153,0.030168793378034405,0.8484299182891846
T-reg,3,1,LIN,classical,full,True,0.3192322929854315,0.3062470869995905,0.029550092969993464,0.0
T-reg,3,1,RBF,classical,full,True,0.3025375690444322,0.30227686784536656,0.029455582415175645,0.0
T-reg,3,2,LIN,classical,150,False,0.28011046831416536,0.2554519096295741,0.031239443650925135,0.0007328987121582031
T-reg,3,2,RBF,classical,150,False,0.29958234167775144,0.31546913008673955,0.029726557459547345,0.0062372684478759766
T-reg,3,2,QK,quantum,150,False,0.2011904449462954,0.1785154464521182,0.03137538059323247,0.12615203857421875
T-reg,3,2,VQC,quantum,150,False,0.29995296709321223,0.31946103789509206,0.029795882813178826,0.8408100605010986
T-reg,3,2,LIN,classical,400,False,0.3235839547106573,0.3030703475849886,0.029952598480248453,0.0006883144378662109
T-reg,3,2,RBF,classical,400,False,0.28487269246102914,0.30485175252478247,0.030044988215920842,0.04995393753051758
T-reg,3,2,QK,quantum,400,False,0.2876814471082539,0.3001200772565807,0.03007464760791536,0.14631152153015137
T-reg,3,2,VQC,quantum,400,False,0.3126320778310595,0.3235349853279474,0.030210095541691833,0.8452415466308594
T-reg,3,2,LIN,classical,full,True,0.3192322929854315,0.3062470869995905,0.029550092969993464,0.0
T-reg,3,2,RBF,classical,full,True,0.2952127943948218,0.3179800491285671,0.029323288467252736,0.0
T-reg,4,0,LIN,classical,150,False,0.26525742913715655,0.2541903637219332,0.030599834251243827,0.0007152557373046875
T-reg,4,0,RBF,classical,150,False,0.2705037853366477,0.26090377991565006,0.02995549192703366,0.0032057762145996094
T-reg,4,0,QK,quantum,150,False,0.2660920514665255,0.22971942755006766,0.02998634246136744,0.11078858375549316
T-reg,4,0,VQC,quantum,150,False,0.23318995725934932,0.21995201198307862,0.03191959264908929,0.841855525970459
T-reg,4,0,LIN,classical,400,False,0.2833707499755948,0.23794531353037032,0.03044193862408698,0.0007131099700927734
T-reg,4,0,RBF,classical,400,False,0.29204813381285516,0.2575411368673465,0.029765181363817266,0.009283065795898438
T-reg,4,0,QK,quantum,400,False,0.20061352461992843,0.16928972572898085,0.030645203709133942,0.13454270362854004
T-reg,4,0,VQC,quantum,400,False,0.2311724719048855,0.2326452429687641,0.030475938434104757,0.851801872253418
T-reg,4,0,LIN,classical,full,True,0.28614664963095066,0.23891299186951528,0.030248967264755646,0.0
T-reg,4,0,RBF,classical,full,True,0.294422191644584,0.28240141877510627,0.02958625919279242,0.0
T-reg,4,1,LIN,classical,150,False,0.2767310144041228,0.21699357056558893,0.030281908784139052,0.0009496212005615234
T-reg,4,1,RBF,classical,150,False,0.2504771819581936,0.22421300288433904,0.029950701092975346,0.0020515918731689453
T-reg,4,1,QK,quantum,150,False,0.2018001369467159,0.17967805556417124,0.030501564396040595,0.10222911834716797
T-reg,4,1,VQC,quantum,150,False,0.18874662371911013,0.19472520286035505,0.03141179269867845,0.8710060119628906
T-reg,4,1,LIN,classical,400,False,0.2803650875579979,0.23361963644308045,0.030859858268548906,0.0007007122039794922
T-reg,4,1,RBF,classical,400,False,0.2696917976804598,0.19909975841465208,0.030441727850967475,0.12315940856933594
T-reg,4,1,QK,quantum,400,False,0.2590922996147523,0.23173457491154995,0.030081317979229156,0.15076041221618652
T-reg,4,1,VQC,quantum,400,False,0.2969527203336157,0.23559971690185805,0.030114585399210903,0.9007773399353027
T-reg,4,1,LIN,classical,full,True,0.28614664963095066,0.23891299186951528,0.030248967264755646,0.0
T-reg,4,1,RBF,classical,full,True,0.22704335206456686,0.1983280892522522,0.030505714392653767,0.0
T-reg,4,2,LIN,classical,150,False,0.2684138968006098,0.22926764803719402,0.031877849934732146,0.0007784366607666016
